"CU_ID","Species","Stock","DataType","Year","SpnForAbd_Wild","SpnForTrend_Wild","RelLBM","AbsLBM","LongTrend","PercChange","ProbDeclBelowLBM","Percentile","RelUBM","AbsUBM","GenAvgSpnForAbd","IntStatusRaw","IntStatusRaw_Short","IntStatus_Short","RapidStatus","BinLabel","BinPath","RapidScore","LongTrendCat","PercChangeCat","ProbDeclBelowLBMCat","PercentileCat","RelAbdCat","AbsAbdCat","RelAbd_LBM","RelAbd_UBM","SpnForAbd_Total","SpnForTrend_Total","ConfidenceRating","IntStatus5","IntStatus3","IntStatus2"
"Case1","Chinook","CU1_Chinook","Abs_Abd",1995,15599,15599,1.60105072998777,21.855943515063,148,64.3559,1.7333,NA,0.81451732996918,2.1855943515063,21855.943515063,NA,NA,NA,"Amber","Node37","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM < 1.1",3,"Green","Green",NA,NA,"Amber","Green",13651,26833,15599,15599,"High",NA,NA,NA
"Case1","Chinook","CU1_Chinook","Abs_Abd",1996,36787,36787,1.8092505985158,24.6980799203392,161,53.8007,2.1333,NA,0.920436772643356,2.46980799203392,24698.0799203392,NA,NA,NA,"Amber","Node37","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM < 1.1",3,"Green","Green",NA,NA,"Amber","Green",13651,26833,36787,36787,"High",NA,NA,NA
"Case1","Chinook","CU1_Chinook","Abs_Abd",1997,20314,20314,1.90380960035511,25.9889048544477,167,17.4375,6.9333,NA,0.968542647279382,2.59889048544477,25988.9048544477,NA,NA,NA,"Amber","Node37","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM < 1.1",3,"Green","Green",NA,NA,"Amber","Green",13651,26833,20314,20314,"High",NA,NA,NA
"Case1","Chinook","CU1_Chinook","Abs_Abd",1998,36950,36950,1.87666082668845,25.618296945124,159,57.0538,1.6667,NA,0.954731000824508,2.5618296945124,25618.296945124,NA,NA,NA,"Amber","Node37","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM < 1.1",3,"Green","Green",NA,NA,"Amber","Green",13651,26833,36950,36950,"High",NA,NA,NA
"Case1","Chinook","CU1_Chinook","Abs_Abd",1999,45080,45080,2.44685129301929,33.4019670010064,199,92.2542,0.5333,NA,1.24480926474887,3.34019670010064,33401.9670010064,NA,NA,NA,"Green","Node36","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM >= 1.1",1,"Green","Green",NA,NA,"Green","Green",13651,26833,45080,45080,"High",NA,NA,NA
"Case1","Chinook","CU1_Chinook","Abs_Abd",2000,26681,26681,2.2580549619098,30.8247082850307,180,91.8589,0.7,NA,1.14876116293485,3.08247082850307,30824.7082850307,NA,NA,NA,"Green","Node36","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM >= 1.1",1,"Green","Green",NA,NA,"Green","Green",13651,26833,26681,26681,"High",NA,NA,NA
"Case1","Chinook","CU1_Chinook","Abs_Abd",2001,32234,32234,2.5343360247173,34.5962210734159,198,76.8912,1,NA,1.28931618057675,3.45962210734159,34596.2210734159,NA,NA,NA,"Green","Node36","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM >= 1.1",1,"Green","Green",NA,NA,"Green","Green",13651,26833,32234,32234,"High",NA,NA,NA
"Case1","Chinook","CU1_Chinook","Abs_Abd",2002,56121,56121,2.81346771897471,38.4066478317237,211,145.6327,0.0333,NA,1.43132142629314,3.84066478317237,38406.6478317237,NA,NA,NA,"Green","Node36","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM >= 1.1",1,"Green","Green",NA,NA,"Green","Green",13651,26833,56121,56121,"High",NA,NA,NA
"Case1","Chinook","CU1_Chinook","Abs_Abd",2003,35217,35217,2.64505099277197,36.1075911023302,194,101.1936,0.6333,NA,1.34564122917043,3.61075911023302,36107.5911023302,NA,NA,NA,"Green","Node36","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM >= 1.1",1,"Green","Green",NA,NA,"Green","Green",13651,26833,35217,35217,"High",NA,NA,NA
"Case1","Chinook","CU1_Chinook","Abs_Abd",2004,17139,17139,2.36799015798489,32.3254336466518,174,37.9968,7.7333,NA,1.20468951092505,3.23254336466518,32325.4336466518,NA,NA,NA,"Green","Node36","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM >= 1.1",1,"Green","Green",NA,NA,"Green","Green",13651,26833,17139,17139,"High",NA,NA,NA
